bundle chunks = 21  key = eyJhbGciOiJIUzI1NiIsInR5cCI6Ik…

===== pos_print_jobs（最近 24h，按 created_at desc）=====
status 200
筆數 = 58
2026-09-24 13:23:39 | print-f4fa398a | oid=ledger-12f1e6a8-dbd7-41ac-b9af-65602773db3d no=005 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:f5eas8 | claim=2026-09-24 13:23:39 done=2026-09-24 13:23:40 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:22:31 | print-3e6b0f74 | oid=ledger-7e5579c8-b75b-44ee-abdb-4aff0996547b no=004 | normal/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 13:22:32 done=2026-09-24 13:22:33 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 13:22:31 | print-fe0157f5 | oid=ledger-7e5579c8-b75b-44ee-abdb-4aff0996547b no=004 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:tvwt29 | claim=2026-09-24 13:22:32 done=2026-09-24 13:22:33 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:26:21 | print-fb990640 | oid=order-49c4f672 no=訂單10 | addon/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 12:26:21 done=2026-09-24 12:26:21 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:24:47 | print-c7166b33 | oid=order-49c4f672 no=訂單10 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:99hyh6 | claim=2026-09-24 12:24:48 done=2026-09-24 12:24:48 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:16:56 | print-74698fa7 | oid=order-dcf1eec3 no=訂單09 | normal/receipt/小票機 · 通用 80mm 熱敏打印機 | st=printed att=0 | once=null | claim=2026-09-24 12:16:57 done=2026-09-24 12:16:57 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:13:41 | print-c95aabe3 | oid=order-dcf1eec3 no=訂單09 | void/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 12:13:44 done=2026-09-24 12:13:45 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:13:29 | print-8797dde8 | oid=order-dcf1eec3 no=訂單09 | void/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 12:13:30 done=2026-09-24 12:13:30 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:10:30 | print-a337e5ba | oid=order-dcf1eec3 no=訂單09 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:g7n324 | claim=2026-09-24 12:10:31 done=2026-09-24 12:10:31 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:09:45 | print-a8c19c52 | oid=order-ee7d1fea no=訂單04 | addon/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 12:09:46 done=2026-09-24 12:09:46 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:03:33 | print-df387a62 | oid=order-8c98310a no=訂單08 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:t207e7 | claim=2026-09-24 12:03:33 done=2026-09-24 12:03:34 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 12:00:00 | print-be20d519 | oid=order-ca18cff0 no=訂單07 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1ke7xyc | claim=2026-09-24 12:00:01 done=2026-09-24 12:00:01 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 11:53:17 | print-d4c7f444 | oid=order-20b4b1b0 no=訂單06 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1lb7k6m | claim=2026-09-24 11:53:18 done=2026-09-24 11:53:19 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 11:52:25 | print-ec3190ca | oid=order-ee656bae no=訂單05 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:108qo9m | claim=2026-09-24 11:52:26 done=2026-09-24 11:52:26 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 11:40:18 | print-77d0071f | oid=order-ee7d1fea no=訂單04 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1n3jyya | claim=2026-09-24 11:40:19 done=2026-09-24 11:40:19 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 11:27:14 | print-caab6bc9 | oid=ledger-7b295237-0a9c-4c78-9b66-01390806559f no=003 | normal/kitchen/printer | st=printed att=0 | once=null | claim=2026-09-24 11:27:15 done=2026-09-24 11:27:16 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 11:15:54 | print-7403cb4b | oid=ledger-7b295237-0a9c-4c78-9b66-01390806559f no=003 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:sy1pty | claim=2026-09-24 11:15:54 done=2026-09-24 11:15:55 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 10:57:41 | print-d4f2b345 | oid=ledger-2cc9593f-449e-4c56-b0db-3157804d82f4 no=002 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1ah9q6a | claim=2026-09-24 10:57:42 done=2026-09-24 10:57:42 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 10:35:27 | print-11e37b9e | oid=order-778dbb99 no=訂單02 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:1fvtpr3 | claim=2026-09-24 10:35:28 done=2026-09-24 10:35:28 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 10:25:37 | print-db206d3b | oid=ledger-f74b4a98-c28c-4afb-9727-b8c86d84338c no=001 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:3sigr5 | claim=2026-09-24 10:25:38 done=2026-09-24 10:25:38 | err=- | items= | storeName=表嫂美食 | orderTime=-
2026-09-24 09:46:50 | print-65c07354 | oid=order-94e50ac8 no=訂單01 | normal/kitchen/printer | st=printed att=0 | once=kitchen:normal:0:uzi2az | claim=2026-09-24 09:46:52 done=2026-09-24 09:46:52 | err=- | items= | storeName=表嫂美食 | orderTime=-

===== pos_orders 今日（按 updated_at desc）=====
status 200
筆數 = 0
